response_id,model,task,sensory_count,emotional_count,tech_count
abe491e4dfec,LongCat-2.0,博物馆导览讲解,14,0,0
7abf1afcb13a,LongCat-2.0,历史场景叙事,3,0,0
a910c2804726,LongCat-2.0,沉浸式体验设计,9,4,9
b1da5a36c090,LongCat-2.0,博物馆导览讲解,15,1,0
75e0305e96f6,LongCat-2.0,历史场景叙事,9,0,0
b4a5c452e671,LongCat-2.0,沉浸式体验设计,3,0,7
a649d383f6fc,LongCat-2.0,博物馆导览讲解,0,0,0
d7bcd4aa43be,LongCat-2.0,历史场景叙事,1,0,0
c387794033e5,LongCat-2.0,沉浸式体验设计,5,0,11
09d8b65cfb8e,LongCat-2.0,博物馆导览讲解,5,2,0
9e7b5db0b3e6,LongCat-2.0,历史场景叙事,12,5,0
1740f71453f3,LongCat-2.0,沉浸式体验设计,0,0,16
c638948c6ea8,LongCat-2.0,博物馆导览讲解,0,0,0
a20efd3ab456,LongCat-2.0,历史场景叙事,9,1,0
9b75e4f41d1b,LongCat-2.0,沉浸式体验设计,10,0,14
b2df31c89406,LongCat-2.0,博物馆导览讲解,5,0,0
85696439e217,LongCat-2.0,历史场景叙事,12,0,0
5cf3394abff0,LongCat-2.0,沉浸式体验设计,1,0,17
1081b2fefe22,LongCat-2.0,博物馆导览讲解,3,1,0
d09c103f7efb,LongCat-2.0,历史场景叙事,3,0,0
4cd25180c555,LongCat-2.0,沉浸式体验设计,9,2,22
39b75ba71a6d,LongCat-2.0,博物馆导览讲解,4,1,0
cf999dfd78db,LongCat-2.0,历史场景叙事,8,3,0
5a7ab0b80d9d,LongCat-2.0,沉浸式体验设计,6,1,12
53be63e9196b,LongCat-2.0,博物馆导览讲解,2,1,0
482af2c80fbd,LongCat-2.0,历史场景叙事,6,1,0
29c23ebf4a19,LongCat-2.0,沉浸式体验设计,5,0,4
154c5af6a91b,LongCat-2.0,博物馆导览讲解,14,0,0
5e45f83d9f51,LongCat-2.0,历史场景叙事,13,0,0
7aa0ab6abe6e,LongCat-2.0,沉浸式体验设计,3,0,8
755f9db45c7b,LongCat-2.0,博物馆导览讲解,2,1,0
9870c50c50c3,LongCat-2.0,历史场景叙事,9,1,0
22d832f5c046,LongCat-2.0,沉浸式体验设计,9,3,8
2ae93a537f33,LongCat-2.0,博物馆导览讲解,2,1,0
3c87e6844b49,LongCat-2.0,历史场景叙事,20,0,0
582e4785f105,LongCat-2.0,沉浸式体验设计,4,0,6
551fe23b8ddc,GLM-5.2,博物馆导览讲解,6,0,0
fcdfcc210c01,GLM-5.2,历史场景叙事,11,0,0
2aea162482dd,GLM-5.2,沉浸式体验设计,8,1,8
036a8a4a3dda,GLM-5.2,博物馆导览讲解,7,2,0
3a6ad4aa3a44,GLM-5.2,历史场景叙事,8,1,0
d61440f30d8f,GLM-5.2,沉浸式体验设计,7,4,11
80ef37f7e6f8,GLM-5.2,博物馆导览讲解,6,2,0
0d87d1443a2c,GLM-5.2,历史场景叙事,17,0,0
2970262db7e2,GLM-5.2,沉浸式体验设计,8,0,14
c942063b02d5,GLM-5.2,博物馆导览讲解,7,0,0
5cb58fc9abcd,GLM-5.2,历史场景叙事,6,1,0
c0b2c9dd02af,GLM-5.2,沉浸式体验设计,10,1,17
8a5267dd48b8,GLM-5.2,博物馆导览讲解,8,0,0
ba6980e41266,GLM-5.2,历史场景叙事,9,2,0
2192ffd3385f,GLM-5.2,沉浸式体验设计,7,1,16
94caab87449f,GLM-5.2,博物馆导览讲解,13,2,0
d8ddbb68918d,GLM-5.2,历史场景叙事,13,0,0
b32dce1e5c44,GLM-5.2,沉浸式体验设计,11,4,19
043362459d0c,GLM-5.2,博物馆导览讲解,7,0,0
294a49aee97c,GLM-5.2,历史场景叙事,12,1,0
721b1e1be672,GLM-5.2,沉浸式体验设计,7,0,10
cb18753dd01e,GLM-5.2,博物馆导览讲解,9,1,0
91866d706441,GLM-5.2,历史场景叙事,6,2,0
0d49120897d8,GLM-5.2,沉浸式体验设计,9,3,15
a80bb6f9b116,GLM-5.2,博物馆导览讲解,16,4,2
509ac649cfae,GLM-5.2,历史场景叙事,8,1,0
9b94f7e61566,GLM-5.2,沉浸式体验设计,4,1,12
69e407a14d37,GLM-5.2,博物馆导览讲解,11,0,0
f837a19c616e,GLM-5.2,历史场景叙事,13,0,0
28744f16944f,GLM-5.2,沉浸式体验设计,18,1,12
afdf0242e897,GLM-5.2,博物馆导览讲解,6,1,0
0223cbd7e9b6,GLM-5.2,历史场景叙事,10,2,0
7cccbb1ebdd6,GLM-5.2,沉浸式体验设计,10,1,15
63153b5d2f00,GLM-5.2,博物馆导览讲解,7,2,0
f324a6f12136,GLM-5.2,历史场景叙事,7,0,0
f6125a7b0510,GLM-5.2,沉浸式体验设计,10,2,13
e636e67830a1,Kimi-K2.7-Code,博物馆导览讲解,5,0,0
980bfec4f863,Kimi-K2.7-Code,历史场景叙事,5,0,0
982a3477b67a,Kimi-K2.7-Code,沉浸式体验设计,10,0,29
d6799baf388c,Kimi-K2.7-Code,博物馆导览讲解,5,0,0
e7064299338f,Kimi-K2.7-Code,历史场景叙事,7,0,0
7ebb499b3763,Kimi-K2.7-Code,沉浸式体验设计,4,1,12
464ed49bcbf2,Kimi-K2.7-Code,博物馆导览讲解,8,0,0
9f8126dd44d5,Kimi-K2.7-Code,历史场景叙事,9,2,1
3e15f53c5e25,Kimi-K2.7-Code,沉浸式体验设计,9,0,23
930737b0cfde,Kimi-K2.7-Code,博物馆导览讲解,7,1,0
d3354379e2da,Kimi-K2.7-Code,历史场景叙事,5,0,0
33e7623784aa,Kimi-K2.7-Code,沉浸式体验设计,3,4,25
0e7e2c5928c1,Kimi-K2.7-Code,博物馆导览讲解,6,0,1
783fb756274d,Kimi-K2.7-Code,历史场景叙事,3,0,0
afa731288f9e,Kimi-K2.7-Code,沉浸式体验设计,10,0,19
7f749f684f2a,Kimi-K2.7-Code,博物馆导览讲解,3,0,0
8e935bdb8966,Kimi-K2.7-Code,历史场景叙事,13,1,0
8860c142fb34,Kimi-K2.7-Code,沉浸式体验设计,8,2,16
a0b031de576c,Kimi-K2.7-Code,博物馆导览讲解,6,0,0
d51c77b3c96e,Kimi-K2.7-Code,历史场景叙事,6,0,0
d6de44524801,Kimi-K2.7-Code,沉浸式体验设计,10,0,16
67038910ea90,Kimi-K2.7-Code,博物馆导览讲解,11,0,0
0523dafe341e,Kimi-K2.7-Code,历史场景叙事,6,0,0
d8b31579912e,Kimi-K2.7-Code,沉浸式体验设计,9,6,27
a3db0f8a3c94,Kimi-K2.7-Code,博物馆导览讲解,6,1,0
1d2afceff879,Kimi-K2.7-Code,历史场景叙事,4,1,0
89f025b51cb7,Kimi-K2.7-Code,沉浸式体验设计,16,2,17
25c2f2abe3e5,Kimi-K2.7-Code,博物馆导览讲解,11,0,0
261c309dd692,Kimi-K2.7-Code,历史场景叙事,17,1,0
341fdfd3bad0,Kimi-K2.7-Code,沉浸式体验设计,13,3,18
1bad7daa3d54,Kimi-K2.7-Code,博物馆导览讲解,4,1,0
72fc81c84dd0,Kimi-K2.7-Code,历史场景叙事,5,3,0
57214298398f,Kimi-K2.7-Code,沉浸式体验设计,8,7,23
efd692be49e1,Kimi-K2.7-Code,博物馆导览讲解,6,2,0
750c66465d95,Kimi-K2.7-Code,历史场景叙事,10,1,0
c0d91de3d322,Kimi-K2.7-Code,沉浸式体验设计,10,0,16
ad23878edbe8,DeepSeek-V4-Pro,博物馆导览讲解,7,1,0
b3165688025d,DeepSeek-V4-Pro,历史场景叙事,6,0,0
debe58c13311,DeepSeek-V4-Pro,沉浸式体验设计,10,1,27
b86fa7cbd4f1,DeepSeek-V4-Pro,博物馆导览讲解,3,1,1
9d5ea3d334bd,DeepSeek-V4-Pro,沉浸式体验设计,3,2,20
4d34935f2d4b,DeepSeek-V4-Pro,博物馆导览讲解,4,1,0
be2ddfb7f9e5,DeepSeek-V4-Pro,沉浸式体验设计,6,3,26
e0d48cca9b72,DeepSeek-V4-Pro,博物馆导览讲解,10,2,0
1fb315375044,DeepSeek-V4-Pro,历史场景叙事,10,0,0
a1e84fc6622e,DeepSeek-V4-Pro,沉浸式体验设计,3,0,38
f26740bbd051,DeepSeek-V4-Pro,博物馆导览讲解,10,0,0
7fbeb69a0ca0,DeepSeek-V4-Pro,历史场景叙事,11,0,0
a923b506befe,DeepSeek-V4-Pro,沉浸式体验设计,10,2,19
3e31cab2a324,DeepSeek-V4-Pro,博物馆导览讲解,6,0,0
f66d558869a8,DeepSeek-V4-Pro,历史场景叙事,8,0,0
96534aab2a68,DeepSeek-V4-Pro,沉浸式体验设计,9,1,31
8b4a1b59e28a,DeepSeek-V4-Pro,博物馆导览讲解,9,0,0
5130aabfbcb6,DeepSeek-V4-Pro,历史场景叙事,11,0,0
f3643bc4d79f,DeepSeek-V4-Pro,沉浸式体验设计,6,0,24
efefcc9a8ce7,DeepSeek-V4-Pro,博物馆导览讲解,18,2,0
c094664055e0,DeepSeek-V4-Pro,历史场景叙事,6,0,0
