rank,term,freq,type
1,---,5278,unigram
2,我们,4503,unigram
3,AR,4431,unigram
4,体验,4424,unigram
5,而是,3981,unigram
6,###,3925,unigram
7,叙事,3743,unigram
8,互动,3528,unigram
9,历史,3392,unigram
10,不是,3225,unigram
11,文化,3190,unigram
12,场景,2888,unigram
13,声音,2828,unigram
14,你们,2789,unigram
15,孩子,2656,unigram
16,这里,2625,unigram
17,技术,2431,unigram
18,一位,2373,unigram
19,设计,2364,unigram
20,他们,2305,unigram
21,通过,2274,unigram
22,情感,2266,unigram
23,时间,2207,unigram
24,这座,2151,unigram
25,建筑,2062,unigram
26,##,2017,unigram
27,故事,2005,unigram
28,作为,1971,unigram
29,这些,1919,unigram
30,空间,1834,unigram
31,今天,1800,unigram
32,工匠,1763,unigram
33,看到,1697,unigram
34,核心,1645,unigram
35,一种,1596,unigram
36,游客,1581,unigram
37,选择,1563,unigram
38,不仅,1555,unigram
39,如何,1551,unigram
40,手机,1511,unigram
41,金字塔,1507,unigram
42,沉浸,1495,unigram
43,理解,1494,unigram
44,文明,1483,unigram
45,那些,1453,unigram
46,文物,1443,unigram
47,女性,1443,unigram
48,不同,1442,unigram
49,分钟,1433,unigram
50,对话,1428,unigram
51,提供,1423,unigram
52,环节,1411,unigram
53,避免,1403,unigram
54,音频,1391,unigram
55,遗址,1383,unigram
56,视角,1346,unigram
57,感受,1317,unigram
58,目标,1295,unigram
59,石头,1287,unigram
60,现在,1255,unigram
61,使用,1255,unigram
62,印度,1251,unigram
63,耳机,1242,unigram
64,来自,1240,unigram
65,就是,1223,unigram
66,记忆,1221,unigram
67,真实,1213,unigram
68,共鸣,1210,unigram
69,古代,1194,unigram
70,罗马,1170,unigram
71,需要,1154,unigram
72,这是,1151,unigram
73,一段,1126,unigram
74,方案,1110,unigram
75,中国,1100,unigram
76,帝国,1073,unigram
77,它们,1049,unigram
78,远处,1046,unigram
79,神庙,1043,unigram
80,虚拟,1030,unigram
81,可能,1028,unigram
82,普通人,1026,unigram
83,一座,1012,unigram
84,壁画,1006,unigram
85,触摸,1005,unigram
86,受众,997,unigram
87,社区,989,unigram
88,发现,979,unigram
89,以及,977,unigram
90,保护,976,unigram
91,尊重,976,unigram
92,大理石,974,unigram
93,皇帝,961,unigram
94,更是,955,unigram
95,进入,954,unigram
96,成为,951,unigram
97,世纪,950,unigram
98,只是,947,unigram
99,系统,946,unigram
100,最后,938,unigram
1,---_###,1893,bigram
2,---_##,1507,bigram
3,互动_环节,1004,bigram
4,体验_目标,921,bigram
5,情感_共鸣,796,bigram
6,文化_敏感性,743,bigram
7,###_场景,565,bigram
8,AR_眼镜,564,bigram
9,空间_音频,564,bigram
10,核心_场景,554,bigram
11,目标_受众,535,bigram
12,场景_互动,532,bigram
13,欢迎_来到,504,bigram
14,叙事_情感,496,bigram
15,受众_画像,461,bigram
16,传导_耳机,456,bigram
17,增强_叙事,449,bigram
18,敏感性_及性,423,bigram
19,尔罕_布拉,394,bigram
20,####_场景,375,bigram
21,体验_方案,373,bigram
22,###_体验,371,bigram
23,沉浸_叙事,368,bigram
24,###_文化,368,bigram
25,互动_装置,340,bigram
26,###_核心,333,bigram
27,技术_如何,323,bigram
28,如何_增强,311,bigram
29,沉浸_体验,302,bigram
30,刻板_印象,292,bigram
31,###_技术,288,bigram
32,这片_土地,280,bigram
33,互动_设计,276,bigram
34,##_体验,275,bigram
35,##_核心,259,bigram
36,这座_建筑,249,bigram
37,这座_宫殿,238,bigram
38,清水_舞台,237,bigram
39,受众_定位,237,bigram
40,本身_就是,230,bigram
41,奇琴_伊察,223,bigram
42,手机_AR,215,bigram
43,文物保护_提示,213,bigram
44,##_技术,212,bigram
45,今天_我们,212,bigram
46,预算_有限,211,bigram
47,通过_AR,206,bigram
48,15_分钟,203,bigram
49,这座_城市,202,bigram
50,文化_意义,194,bigram
51,技术_增强,189,bigram
52,想象_一下,187,bigram
53,远处_传来,186,bigram
54,触觉_反馈,186,bigram
55,##_文化,185,bigram
56,---_---,185,bigram
57,我们_今天,181,bigram
58,跨越_时空,179,bigram
59,普通人_故事,177,bigram
60,一位_名叫,175,bigram
61,胜利_女神,171,bigram
62,20_分钟,165,bigram
63,导览_讲解,164,bigram
64,场景_设定,161,bigram
65,空气_弥漫着,161,bigram
66,帕特农_神庙,161,bigram
67,AR_叠加,156,bigram
68,------_------,154,bigram
69,------_----------,153,bigram
70,VR_头显,151,bigram
71,体验_设计,143,bigram
72,30_分钟,142,bigram
73,声音_设计,140,bigram
74,作为_一名,140,bigram
75,共鸣_技术,140,bigram
76,一位_来自,138,bigram
77,耳机_传来,137,bigram
78,独自_旅行,136,bigram
79,我们_现在,134,bigram
80,白色_大理石,134,bigram
81,19_世纪,134,bigram
82,音羽_瀑布,134,bigram
83,而是_一种,129,bigram
84,中等_预算,129,bigram
85,不要_触摸,128,bigram
86,手机_屏幕,128,bigram
87,考古_发现,127,bigram
88,一块_石头,125,bigram
89,现在_我们,124,bigram
90,及性_考量,123,bigram
91,核心_体验,122,bigram
92,12_孩子,121,bigram
93,10_分钟,120,bigram
94,塞尔_苏斯,119,bigram
95,深吸_一口气,118,bigram
96,AR_技术,118,bigram
97,定位_受众,118,bigram
98,技术_叙事,115,bigram
99,通过_手机,114,bigram
100,文化_尊重,114,bigram
