model,narrative_quality,cultural_sensitivity,historical_accuracy,immersion,personalization
DeepSeek-V4-Flash,4.99 (4.98–5.00),4.99 (4.98–5.00),4.31 (4.21–4.41),4.92 (4.87–4.96),4.93 (4.88–4.98)
DeepSeek-V4-Pro,5.00 (5.00–5.00),5.00 (5.00–5.00),4.53 (4.43–4.63),4.99 (4.97–5.00),4.97 (4.94–4.99)
GLM-5.2,5.00 (5.00–5.00),4.99 (4.97–5.00),4.47 (4.37–4.57),4.97 (4.94–4.99),4.99 (4.97–5.00)
Kimi-K2.7-Code,4.99 (4.98–5.00),5.00 (5.00–5.00),4.75 (4.68–4.82),4.93 (4.89–4.97),4.98 (4.96–5.00)
LongCat-2.0,4.80 (4.71–4.88),4.92 (4.84–4.98),4.26 (4.15–4.37),4.78 (4.68–4.87),4.81 (4.71–4.89)
MiniMax-M2.5,4.88 (4.83–4.92),4.98 (4.96–4.99),4.04 (3.91–4.16),4.73 (4.64–4.82),4.82 (4.74–4.89)
Nex-N2-Pro,1.17 (1.07–1.30),1.19 (1.08–1.32),1.17 (1.06–1.29),1.17 (1.07–1.29),1.18 (1.08–1.31)
Pro-GLM-5.1,5.00 (5.00–5.00),5.00 (5.00–5.00),4.43 (4.34–4.52),5.00 (5.00–5.00),4.99 (4.98–5.00)
Pro-Kimi-K2.6,5.00 (5.00–5.00),5.00 (5.00–5.00),4.67 (4.59–4.74),4.99 (4.97–5.00),5.00 (5.00–5.00)
Pro-MiniMax-M2.5,4.92 (4.86–4.96),4.96 (4.93–4.99),4.03 (3.91–4.15),4.77 (4.68–4.84),4.84 (4.77–4.91)
