,DeepSeek-V4-Flash,DeepSeek-V4-Pro,GLM-5.2,Kimi-K2.7-Code,LongCat-2.0,MiniMax-M2.5,Nex-N2-Pro,Pro-GLM-5.1,Pro-Kimi-K2.6,Pro-MiniMax-M2.5
DeepSeek-V4-Flash,,0.3083,0.3167,0.1917,0.6583,0.75,1.0,0.3167,0.2167,0.7
DeepSeek-V4-Pro,0.6917,,0.5583,0.4,0.7583,0.8583,1.0,0.5333,0.3583,0.8167
GLM-5.2,0.6833,0.4417,,0.3,0.775,0.8917,1.0,0.525,0.3083,0.775
Kimi-K2.7-Code,0.8083,0.6,0.7,,0.85,0.95,1.0,0.6833,0.5,0.9083
LongCat-2.0,0.3417,0.2417,0.225,0.15,,0.575,1.0,0.225,0.1083,0.5167
MiniMax-M2.5,0.25,0.1417,0.1083,0.05,0.425,,1.0,0.125,0.1,0.45
Nex-N2-Pro,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
Pro-GLM-5.1,0.6833,0.4667,0.475,0.3167,0.775,0.875,1.0,,0.3333,0.825
Pro-Kimi-K2.6,0.7833,0.6417,0.6917,0.5,0.8917,0.9,1.0,0.6667,,0.9333
Pro-MiniMax-M2.5,0.3,0.1833,0.225,0.0917,0.4833,0.55,1.0,0.175,0.0667,
