group1,group2,meandiff,p,lower,upper,reject
DeepSeek-V4-Flash,DeepSeek-V4-Pro,0.0056,1.0,-0.1004,0.1115,False
DeepSeek-V4-Flash,GLM-5.2,-0.0056,1.0,-0.1115,0.1004,False
DeepSeek-V4-Flash,Kimi-K2.7-Code,0.0056,1.0,-0.1004,0.1115,False
DeepSeek-V4-Flash,LongCat-2.0,-0.0722,0.485,-0.1781,0.0337,False
DeepSeek-V4-Flash,MiniMax-M2.5,-0.0167,1.0,-0.1226,0.0892,False
DeepSeek-V4-Flash,Nex-N2-Pro,-3.8056,0.0,-3.9115,-3.6996,True
DeepSeek-V4-Flash,Pro-GLM-5.1,0.0056,1.0,-0.1004,0.1115,False
DeepSeek-V4-Flash,Pro-Kimi-K2.6,0.0056,1.0,-0.1004,0.1115,False
DeepSeek-V4-Flash,Pro-MiniMax-M2.5,-0.0333,0.9925,-0.1392,0.0726,False
DeepSeek-V4-Pro,GLM-5.2,-0.0111,1.0,-0.117,0.0948,False
DeepSeek-V4-Pro,Kimi-K2.7-Code,0.0,1.0,-0.1059,0.1059,False
DeepSeek-V4-Pro,LongCat-2.0,-0.0778,0.3723,-0.1837,0.0281,False
DeepSeek-V4-Pro,MiniMax-M2.5,-0.0222,0.9997,-0.1281,0.0837,False
DeepSeek-V4-Pro,Nex-N2-Pro,-3.8111,0.0,-3.917,-3.7052,True
DeepSeek-V4-Pro,Pro-GLM-5.1,0.0,1.0,-0.1059,0.1059,False
DeepSeek-V4-Pro,Pro-Kimi-K2.6,0.0,1.0,-0.1059,0.1059,False
DeepSeek-V4-Pro,Pro-MiniMax-M2.5,-0.0389,0.9777,-0.1448,0.067,False
GLM-5.2,Kimi-K2.7-Code,0.0111,1.0,-0.0948,0.117,False
GLM-5.2,LongCat-2.0,-0.0667,0.6035,-0.1726,0.0392,False
GLM-5.2,MiniMax-M2.5,-0.0111,1.0,-0.117,0.0948,False
GLM-5.2,Nex-N2-Pro,-3.8,0.0,-3.9059,-3.6941,True
GLM-5.2,Pro-GLM-5.1,0.0111,1.0,-0.0948,0.117,False
GLM-5.2,Pro-Kimi-K2.6,0.0111,1.0,-0.0948,0.117,False
GLM-5.2,Pro-MiniMax-M2.5,-0.0278,0.9981,-0.1337,0.0781,False
Kimi-K2.7-Code,LongCat-2.0,-0.0778,0.3723,-0.1837,0.0281,False
Kimi-K2.7-Code,MiniMax-M2.5,-0.0222,0.9997,-0.1281,0.0837,False
Kimi-K2.7-Code,Nex-N2-Pro,-3.8111,0.0,-3.917,-3.7052,True
Kimi-K2.7-Code,Pro-GLM-5.1,0.0,1.0,-0.1059,0.1059,False
Kimi-K2.7-Code,Pro-Kimi-K2.6,0.0,1.0,-0.1059,0.1059,False
Kimi-K2.7-Code,Pro-MiniMax-M2.5,-0.0389,0.9777,-0.1448,0.067,False
LongCat-2.0,MiniMax-M2.5,0.0556,0.8169,-0.0504,0.1615,False
LongCat-2.0,Nex-N2-Pro,-3.7333,0.0,-3.8392,-3.6274,True
LongCat-2.0,Pro-GLM-5.1,0.0778,0.3723,-0.0281,0.1837,False
LongCat-2.0,Pro-Kimi-K2.6,0.0778,0.3723,-0.0281,0.1837,False
LongCat-2.0,Pro-MiniMax-M2.5,0.0389,0.9777,-0.067,0.1448,False
MiniMax-M2.5,Nex-N2-Pro,-3.7889,0.0,-3.8948,-3.683,True
MiniMax-M2.5,Pro-GLM-5.1,0.0222,0.9997,-0.0837,0.1281,False
MiniMax-M2.5,Pro-Kimi-K2.6,0.0222,0.9997,-0.0837,0.1281,False
MiniMax-M2.5,Pro-MiniMax-M2.5,-0.0167,1.0,-0.1226,0.0892,False
Nex-N2-Pro,Pro-GLM-5.1,3.8111,0.0,3.7052,3.917,True
Nex-N2-Pro,Pro-Kimi-K2.6,3.8111,0.0,3.7052,3.917,True
Nex-N2-Pro,Pro-MiniMax-M2.5,3.7722,0.0,3.6663,3.8781,True
Pro-GLM-5.1,Pro-Kimi-K2.6,0.0,1.0,-0.1059,0.1059,False
Pro-GLM-5.1,Pro-MiniMax-M2.5,-0.0389,0.9777,-0.1448,0.067,False
Pro-Kimi-K2.6,Pro-MiniMax-M2.5,-0.0389,0.9777,-0.1448,0.067,False
