group1,group2,meandiff,p,lower,upper,reject
DeepSeek-V4-Flash,DeepSeek-V4-Pro,0.2222,0.0715,-0.009,0.4534,False
DeepSeek-V4-Flash,GLM-5.2,0.1611,0.4519,-0.0701,0.3923,False
DeepSeek-V4-Flash,Kimi-K2.7-Code,0.4389,0.0,0.2077,0.6701,True
DeepSeek-V4-Flash,LongCat-2.0,-0.05,0.9996,-0.2812,0.1812,False
DeepSeek-V4-Flash,MiniMax-M2.5,-0.2722,0.0075,-0.5034,-0.041,True
DeepSeek-V4-Flash,Nex-N2-Pro,-3.1444,0.0,-3.3756,-2.9133,True
DeepSeek-V4-Flash,Pro-GLM-5.1,0.1222,0.8098,-0.109,0.3534,False
DeepSeek-V4-Flash,Pro-Kimi-K2.6,0.3611,0.0,0.1299,0.5923,True
DeepSeek-V4-Flash,Pro-MiniMax-M2.5,-0.2778,0.0057,-0.509,-0.0466,True
DeepSeek-V4-Pro,GLM-5.2,-0.0611,0.998,-0.2923,0.1701,False
DeepSeek-V4-Pro,Kimi-K2.7-Code,0.2167,0.0884,-0.0145,0.4479,False
DeepSeek-V4-Pro,LongCat-2.0,-0.2722,0.0075,-0.5034,-0.041,True
DeepSeek-V4-Pro,MiniMax-M2.5,-0.4944,0.0,-0.7256,-0.2633,True
DeepSeek-V4-Pro,Nex-N2-Pro,-3.3667,0.0,-3.5979,-3.1355,True
DeepSeek-V4-Pro,Pro-GLM-5.1,-0.1,0.9362,-0.3312,0.1312,False
DeepSeek-V4-Pro,Pro-Kimi-K2.6,0.1389,0.6671,-0.0923,0.3701,False
DeepSeek-V4-Pro,Pro-MiniMax-M2.5,-0.5,0.0,-0.7312,-0.2688,True
GLM-5.2,Kimi-K2.7-Code,0.2778,0.0057,0.0466,0.509,True
GLM-5.2,LongCat-2.0,-0.2111,0.1083,-0.4423,0.0201,False
GLM-5.2,MiniMax-M2.5,-0.4333,0.0,-0.6645,-0.2021,True
GLM-5.2,Nex-N2-Pro,-3.3056,0.0,-3.5367,-3.0744,True
GLM-5.2,Pro-GLM-5.1,-0.0389,1.0,-0.2701,0.1923,False
GLM-5.2,Pro-Kimi-K2.6,0.2,0.1585,-0.0312,0.4312,False
GLM-5.2,Pro-MiniMax-M2.5,-0.4389,0.0,-0.6701,-0.2077,True
Kimi-K2.7-Code,LongCat-2.0,-0.4889,0.0,-0.7201,-0.2577,True
Kimi-K2.7-Code,MiniMax-M2.5,-0.7111,0.0,-0.9423,-0.4799,True
Kimi-K2.7-Code,Nex-N2-Pro,-3.5833,0.0,-3.8145,-3.3521,True
Kimi-K2.7-Code,Pro-GLM-5.1,-0.3167,0.0006,-0.5479,-0.0855,True
Kimi-K2.7-Code,Pro-Kimi-K2.6,-0.0778,0.9878,-0.309,0.1534,False
Kimi-K2.7-Code,Pro-MiniMax-M2.5,-0.7167,0.0,-0.9479,-0.4855,True
LongCat-2.0,MiniMax-M2.5,-0.2222,0.0715,-0.4534,0.009,False
LongCat-2.0,Nex-N2-Pro,-3.0944,0.0,-3.3256,-2.8633,True
LongCat-2.0,Pro-GLM-5.1,0.1722,0.351,-0.059,0.4034,False
LongCat-2.0,Pro-Kimi-K2.6,0.4111,0.0,0.1799,0.6423,True
LongCat-2.0,Pro-MiniMax-M2.5,-0.2278,0.0574,-0.459,0.0034,False
MiniMax-M2.5,Nex-N2-Pro,-2.8722,0.0,-3.1034,-2.641,True
MiniMax-M2.5,Pro-GLM-5.1,0.3944,0.0,0.1633,0.6256,True
MiniMax-M2.5,Pro-Kimi-K2.6,0.6333,0.0,0.4021,0.8645,True
MiniMax-M2.5,Pro-MiniMax-M2.5,-0.0056,1.0,-0.2367,0.2256,False
Nex-N2-Pro,Pro-GLM-5.1,3.2667,0.0,3.0355,3.4979,True
Nex-N2-Pro,Pro-Kimi-K2.6,3.5056,0.0,3.2744,3.7367,True
Nex-N2-Pro,Pro-MiniMax-M2.5,2.8667,0.0,2.6355,3.0979,True
Pro-GLM-5.1,Pro-Kimi-K2.6,0.2389,0.0362,0.0077,0.4701,True
Pro-GLM-5.1,Pro-MiniMax-M2.5,-0.4,0.0,-0.6312,-0.1688,True
Pro-Kimi-K2.6,Pro-MiniMax-M2.5,-0.6389,0.0,-0.8701,-0.4077,True
