group1,group2,meandiff,p,lower,upper,reject
DeepSeek-V4-Flash,DeepSeek-V4-Pro,0.0722,0.8787,-0.077,0.2214,False
DeepSeek-V4-Flash,GLM-5.2,0.0556,0.9754,-0.0936,0.2048,False
DeepSeek-V4-Flash,Kimi-K2.7-Code,0.0167,1.0,-0.1325,0.1659,False
DeepSeek-V4-Flash,LongCat-2.0,-0.1333,0.1269,-0.2825,0.0159,False
DeepSeek-V4-Flash,MiniMax-M2.5,-0.1833,0.0041,-0.3325,-0.0341,True
DeepSeek-V4-Flash,Nex-N2-Pro,-3.7444,0.0,-3.8936,-3.5952,True
DeepSeek-V4-Flash,Pro-GLM-5.1,0.0833,0.7546,-0.0659,0.2325,False
DeepSeek-V4-Flash,Pro-Kimi-K2.6,0.0722,0.8787,-0.077,0.2214,False
DeepSeek-V4-Flash,Pro-MiniMax-M2.5,-0.15,0.0475,-0.2992,-0.0008,True
DeepSeek-V4-Pro,GLM-5.2,-0.0167,1.0,-0.1659,0.1325,False
DeepSeek-V4-Pro,Kimi-K2.7-Code,-0.0556,0.9754,-0.2048,0.0936,False
DeepSeek-V4-Pro,LongCat-2.0,-0.2056,0.0006,-0.3548,-0.0564,True
DeepSeek-V4-Pro,MiniMax-M2.5,-0.2556,0.0,-0.4048,-0.1064,True
DeepSeek-V4-Pro,Nex-N2-Pro,-3.8167,0.0,-3.9659,-3.6675,True
DeepSeek-V4-Pro,Pro-GLM-5.1,0.0111,1.0,-0.1381,0.1603,False
DeepSeek-V4-Pro,Pro-Kimi-K2.6,0.0,1.0,-0.1492,0.1492,False
DeepSeek-V4-Pro,Pro-MiniMax-M2.5,-0.2222,0.0001,-0.3714,-0.073,True
GLM-5.2,Kimi-K2.7-Code,-0.0389,0.9982,-0.1881,0.1103,False
GLM-5.2,LongCat-2.0,-0.1889,0.0025,-0.3381,-0.0397,True
GLM-5.2,MiniMax-M2.5,-0.2389,0.0,-0.3881,-0.0897,True
GLM-5.2,Nex-N2-Pro,-3.8,0.0,-3.9492,-3.6508,True
GLM-5.2,Pro-GLM-5.1,0.0278,0.9999,-0.1214,0.177,False
GLM-5.2,Pro-Kimi-K2.6,0.0167,1.0,-0.1325,0.1659,False
GLM-5.2,Pro-MiniMax-M2.5,-0.2056,0.0006,-0.3548,-0.0564,True
Kimi-K2.7-Code,LongCat-2.0,-0.15,0.0475,-0.2992,-0.0008,True
Kimi-K2.7-Code,MiniMax-M2.5,-0.2,0.001,-0.3492,-0.0508,True
Kimi-K2.7-Code,Nex-N2-Pro,-3.7611,0.0,-3.9103,-3.6119,True
Kimi-K2.7-Code,Pro-GLM-5.1,0.0667,0.9226,-0.0825,0.2159,False
Kimi-K2.7-Code,Pro-Kimi-K2.6,0.0556,0.9754,-0.0936,0.2048,False
Kimi-K2.7-Code,Pro-MiniMax-M2.5,-0.1667,0.015,-0.3159,-0.0175,True
LongCat-2.0,MiniMax-M2.5,-0.05,0.9881,-0.1992,0.0992,False
LongCat-2.0,Nex-N2-Pro,-3.6111,0.0,-3.7603,-3.4619,True
LongCat-2.0,Pro-GLM-5.1,0.2167,0.0002,0.0675,0.3659,True
LongCat-2.0,Pro-Kimi-K2.6,0.2056,0.0006,0.0564,0.3548,True
LongCat-2.0,Pro-MiniMax-M2.5,-0.0167,1.0,-0.1659,0.1325,False
MiniMax-M2.5,Nex-N2-Pro,-3.5611,0.0,-3.7103,-3.4119,True
MiniMax-M2.5,Pro-GLM-5.1,0.2667,0.0,0.1175,0.4159,True
MiniMax-M2.5,Pro-Kimi-K2.6,0.2556,0.0,0.1064,0.4048,True
MiniMax-M2.5,Pro-MiniMax-M2.5,0.0333,0.9995,-0.1159,0.1825,False
Nex-N2-Pro,Pro-GLM-5.1,3.8278,0.0,3.6786,3.977,True
Nex-N2-Pro,Pro-Kimi-K2.6,3.8167,0.0,3.6675,3.9659,True
Nex-N2-Pro,Pro-MiniMax-M2.5,3.5944,0.0,3.4452,3.7436,True
Pro-GLM-5.1,Pro-Kimi-K2.6,-0.0111,1.0,-0.1603,0.1381,False
Pro-GLM-5.1,Pro-MiniMax-M2.5,-0.2333,0.0,-0.3825,-0.0841,True
Pro-Kimi-K2.6,Pro-MiniMax-M2.5,-0.2222,0.0001,-0.3714,-0.073,True
