group1,group2,meandiff,p,lower,upper,reject
DeepSeek-V4-Flash,DeepSeek-V4-Pro,0.0056,1.0,-0.1145,0.1256,False
DeepSeek-V4-Flash,GLM-5.2,0.0056,1.0,-0.1145,0.1256,False
DeepSeek-V4-Flash,Kimi-K2.7-Code,0.0,1.0,-0.1201,0.1201,False
DeepSeek-V4-Flash,LongCat-2.0,-0.1944,0.0,-0.3145,-0.0744,True
DeepSeek-V4-Flash,MiniMax-M2.5,-0.1167,0.0652,-0.2367,0.0034,False
DeepSeek-V4-Flash,Nex-N2-Pro,-3.8222,0.0,-3.9423,-3.7021,True
DeepSeek-V4-Flash,Pro-GLM-5.1,0.0056,1.0,-0.1145,0.1256,False
DeepSeek-V4-Flash,Pro-Kimi-K2.6,0.0056,1.0,-0.1145,0.1256,False
DeepSeek-V4-Flash,Pro-MiniMax-M2.5,-0.0778,0.5622,-0.1979,0.0423,False
DeepSeek-V4-Pro,GLM-5.2,0.0,1.0,-0.1201,0.1201,False
DeepSeek-V4-Pro,Kimi-K2.7-Code,-0.0056,1.0,-0.1256,0.1145,False
DeepSeek-V4-Pro,LongCat-2.0,-0.2,0.0,-0.3201,-0.0799,True
DeepSeek-V4-Pro,MiniMax-M2.5,-0.1222,0.0421,-0.2423,-0.0021,True
DeepSeek-V4-Pro,Nex-N2-Pro,-3.8278,0.0,-3.9479,-3.7077,True
DeepSeek-V4-Pro,Pro-GLM-5.1,0.0,1.0,-0.1201,0.1201,False
DeepSeek-V4-Pro,Pro-Kimi-K2.6,0.0,1.0,-0.1201,0.1201,False
DeepSeek-V4-Pro,Pro-MiniMax-M2.5,-0.0833,0.4583,-0.2034,0.0367,False
GLM-5.2,Kimi-K2.7-Code,-0.0056,1.0,-0.1256,0.1145,False
GLM-5.2,LongCat-2.0,-0.2,0.0,-0.3201,-0.0799,True
GLM-5.2,MiniMax-M2.5,-0.1222,0.0421,-0.2423,-0.0021,True
GLM-5.2,Nex-N2-Pro,-3.8278,0.0,-3.9479,-3.7077,True
GLM-5.2,Pro-GLM-5.1,0.0,1.0,-0.1201,0.1201,False
GLM-5.2,Pro-Kimi-K2.6,0.0,1.0,-0.1201,0.1201,False
GLM-5.2,Pro-MiniMax-M2.5,-0.0833,0.4583,-0.2034,0.0367,False
Kimi-K2.7-Code,LongCat-2.0,-0.1944,0.0,-0.3145,-0.0744,True
Kimi-K2.7-Code,MiniMax-M2.5,-0.1167,0.0652,-0.2367,0.0034,False
Kimi-K2.7-Code,Nex-N2-Pro,-3.8222,0.0,-3.9423,-3.7021,True
Kimi-K2.7-Code,Pro-GLM-5.1,0.0056,1.0,-0.1145,0.1256,False
Kimi-K2.7-Code,Pro-Kimi-K2.6,0.0056,1.0,-0.1145,0.1256,False
Kimi-K2.7-Code,Pro-MiniMax-M2.5,-0.0778,0.5622,-0.1979,0.0423,False
LongCat-2.0,MiniMax-M2.5,0.0778,0.5622,-0.0423,0.1979,False
LongCat-2.0,Nex-N2-Pro,-3.6278,0.0,-3.7479,-3.5077,True
LongCat-2.0,Pro-GLM-5.1,0.2,0.0,0.0799,0.3201,True
LongCat-2.0,Pro-Kimi-K2.6,0.2,0.0,0.0799,0.3201,True
LongCat-2.0,Pro-MiniMax-M2.5,0.1167,0.0652,-0.0034,0.2367,False
MiniMax-M2.5,Nex-N2-Pro,-3.7056,0.0,-3.8256,-3.5855,True
MiniMax-M2.5,Pro-GLM-5.1,0.1222,0.0421,0.0021,0.2423,True
MiniMax-M2.5,Pro-Kimi-K2.6,0.1222,0.0421,0.0021,0.2423,True
MiniMax-M2.5,Pro-MiniMax-M2.5,0.0389,0.9907,-0.0812,0.159,False
Nex-N2-Pro,Pro-GLM-5.1,3.8278,0.0,3.7077,3.9479,True
Nex-N2-Pro,Pro-Kimi-K2.6,3.8278,0.0,3.7077,3.9479,True
Nex-N2-Pro,Pro-MiniMax-M2.5,3.7444,0.0,3.6244,3.8645,True
Pro-GLM-5.1,Pro-Kimi-K2.6,0.0,1.0,-0.1201,0.1201,False
Pro-GLM-5.1,Pro-MiniMax-M2.5,-0.0833,0.4583,-0.2034,0.0367,False
Pro-Kimi-K2.6,Pro-MiniMax-M2.5,-0.0833,0.4583,-0.2034,0.0367,False
