group1,group2,meandiff,p,lower,upper,reject
DeepSeek-V4-Flash,DeepSeek-V4-Pro,0.0389,0.9967,-0.099,0.1767,False
DeepSeek-V4-Flash,GLM-5.2,0.0556,0.9588,-0.0823,0.1934,False
DeepSeek-V4-Flash,Kimi-K2.7-Code,0.05,0.9794,-0.0878,0.1878,False
DeepSeek-V4-Flash,LongCat-2.0,-0.1278,0.0965,-0.2656,0.0101,False
DeepSeek-V4-Flash,MiniMax-M2.5,-0.1111,0.2411,-0.249,0.0267,False
DeepSeek-V4-Flash,Nex-N2-Pro,-3.75,0.0,-3.8878,-3.6122,True
DeepSeek-V4-Flash,Pro-GLM-5.1,0.0611,0.9261,-0.0767,0.199,False
DeepSeek-V4-Flash,Pro-Kimi-K2.6,0.0667,0.8794,-0.0712,0.2045,False
DeepSeek-V4-Flash,Pro-MiniMax-M2.5,-0.0889,0.5687,-0.2267,0.049,False
DeepSeek-V4-Pro,GLM-5.2,0.0167,1.0,-0.1212,0.1545,False
DeepSeek-V4-Pro,Kimi-K2.7-Code,0.0111,1.0,-0.1267,0.149,False
DeepSeek-V4-Pro,LongCat-2.0,-0.1667,0.0052,-0.3045,-0.0288,True
DeepSeek-V4-Pro,MiniMax-M2.5,-0.15,0.0205,-0.2878,-0.0122,True
DeepSeek-V4-Pro,Nex-N2-Pro,-3.7889,0.0,-3.9267,-3.651,True
DeepSeek-V4-Pro,Pro-GLM-5.1,0.0222,1.0,-0.1156,0.1601,False
DeepSeek-V4-Pro,Pro-Kimi-K2.6,0.0278,0.9998,-0.1101,0.1656,False
DeepSeek-V4-Pro,Pro-MiniMax-M2.5,-0.1278,0.0965,-0.2656,0.0101,False
GLM-5.2,Kimi-K2.7-Code,-0.0056,1.0,-0.1434,0.1323,False
GLM-5.2,LongCat-2.0,-0.1833,0.0011,-0.3212,-0.0455,True
GLM-5.2,MiniMax-M2.5,-0.1667,0.0052,-0.3045,-0.0288,True
GLM-5.2,Nex-N2-Pro,-3.8056,0.0,-3.9434,-3.6677,True
GLM-5.2,Pro-GLM-5.1,0.0056,1.0,-0.1323,0.1434,False
GLM-5.2,Pro-Kimi-K2.6,0.0111,1.0,-0.1267,0.149,False
GLM-5.2,Pro-MiniMax-M2.5,-0.1444,0.0312,-0.2823,-0.0066,True
Kimi-K2.7-Code,LongCat-2.0,-0.1778,0.0019,-0.3156,-0.0399,True
Kimi-K2.7-Code,MiniMax-M2.5,-0.1611,0.0084,-0.299,-0.0233,True
Kimi-K2.7-Code,Nex-N2-Pro,-3.8,0.0,-3.9378,-3.6622,True
Kimi-K2.7-Code,Pro-GLM-5.1,0.0111,1.0,-0.1267,0.149,False
Kimi-K2.7-Code,Pro-Kimi-K2.6,0.0167,1.0,-0.1212,0.1545,False
Kimi-K2.7-Code,Pro-MiniMax-M2.5,-0.1389,0.0465,-0.2767,-0.001,True
LongCat-2.0,MiniMax-M2.5,0.0167,1.0,-0.1212,0.1545,False
LongCat-2.0,Nex-N2-Pro,-3.6222,0.0,-3.7601,-3.4844,True
LongCat-2.0,Pro-GLM-5.1,0.1889,0.0006,0.051,0.3267,True
LongCat-2.0,Pro-Kimi-K2.6,0.1944,0.0004,0.0566,0.3323,True
LongCat-2.0,Pro-MiniMax-M2.5,0.0389,0.9967,-0.099,0.1767,False
MiniMax-M2.5,Nex-N2-Pro,-3.6389,0.0,-3.7767,-3.501,True
MiniMax-M2.5,Pro-GLM-5.1,0.1722,0.0031,0.0344,0.3101,True
MiniMax-M2.5,Pro-Kimi-K2.6,0.1778,0.0019,0.0399,0.3156,True
MiniMax-M2.5,Pro-MiniMax-M2.5,0.0222,1.0,-0.1156,0.1601,False
Nex-N2-Pro,Pro-GLM-5.1,3.8111,0.0,3.6733,3.949,True
Nex-N2-Pro,Pro-Kimi-K2.6,3.8167,0.0,3.6788,3.9545,True
Nex-N2-Pro,Pro-MiniMax-M2.5,3.6611,0.0,3.5233,3.799,True
Pro-GLM-5.1,Pro-Kimi-K2.6,0.0056,1.0,-0.1323,0.1434,False
Pro-GLM-5.1,Pro-MiniMax-M2.5,-0.15,0.0205,-0.2878,-0.0122,True
Pro-Kimi-K2.6,Pro-MiniMax-M2.5,-0.1556,0.0132,-0.2934,-0.0177,True
